station_code,station_name,sub_line_number,y,x,islocker
9996,미사,5호선,37.560927,127.193877,False
9995,강일,5호선,37.55749,127.17593,False
9010,동탄,수도권 광역급행철도,37.20034,127.09569,False
9009,구성,수도권 광역급행철도,37.29913,127.10389,False
9008,성남,수도권 광역급행철도,37.39467,127.12058,False
9007,수서,수도권 광역급행철도,37.48637,127.10161,True
9006,삼성,수도권 광역급행철도,37.50887,127.06324,True
9005,서울,수도권 광역급행철도,37.55569,126.97296,False
9004,연신내,수도권 광역급행철도,37.61878,126.9213,True
9002,대곡,수도권 광역급행철도,37.63191,126.81113,False
9001,킨텍스,수도권 광역급행철도,37.66532,126.74843,False
9000,운정,수도권 광역급행철도,37.71614,126.72841,False
4929,김포공항,김포골드라인,37.56236,126.801868,True
4928,고촌,김포골드라인,37.601243,126.770345,False
4927,풍무,김포골드라인,37.612488,126.732387,False
4926,사우(김포시청),김포골드라인,37.620249,126.719731,False
4925,걸포북변,김포골드라인,37.63165,126.705975,False
4924,운양,김포골드라인,37.653867,126.68393,False
4923,장기,김포골드라인,37.643986,126.669017,False
4922,마산,김포골드라인,37.640732,126.644344,False
4921,구래,김포골드라인,37.645384,126.628633,False
4920,양촌,김포골드라인,37.642379,126.614309,False
4815,원시,서해선,37.302371,126.786691,False
4814,원곡,서해선,37.31321,126.796261,False
4813,초지,서해선,37.319619,126.808147,False
4812,선부,서해선,37.334353,126.809904,False
4811,달미,서해선,37.348847,126.809409,False
4810,시흥능곡,서해선,37.369864,126.808573,False
4809,시흥시청,서해선,37.382223,126.805625,False
4808,신현,서해선,37.409008,126.788017,False
4807,신천,서해선,37.439066,126.786788,False
4806,시흥대야,서해선,37.450145,126.793041,False
4805,소새울,서해선,37.468467,126.797252,False
4804,소사,서해선,37.483279,126.795023,False
4713,신설동,우이신설선,37.576095,127.023242,True
4712,보문,우이신설선,37.585286,127.019381,True
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516,False
4710,정릉,우이신설선,37.603133,127.013396,False
4709,북한산보국문,우이신설선,37.612072,127.008251,False
4708,솔샘,우이신설선,37.620238,127.013626,False
4707,삼양사거리,우이신설선,37.621337,127.020473,False
4706,삼양,우이신설선,37.626914,127.018106,False
4705,화계,우이신설선,37.634133,127.017511,False
4704,가오리,우이신설선,37.641537,127.016789,False
4703,4.19민주묘지,우이신설선,37.649502,127.013684,False
4702,솔밭공원,우이신설선,37.65603,127.013273,False
4701,북한산우이,우이신설선,37.662909,127.012706,False
4615,탑석,의정부선,37.733579,127.088704,False
4614,송산,의정부선,37.737279,127.087159,False
4613,어룡,의정부선,37.742802,127.085035,False
4612,곤제,의정부선,37.750471,127.083715,False
4611,효자,의정부선,37.754025,127.076902,False
4610,경기도청북부청사,의정부선,37.75059,127.071495,False
4609,새말,의정부선,37.748885,127.06362,False
4608,동오,의정부선,37.745271,127.056947,False
4607,의정부중앙,의정부선,37.743676,127.049565,False
4606,흥선,의정부선,37.743302,127.037023,False
4605,의정부시청,의정부선,37.739256,127.034781,False
4604,경전철의정부,의정부선,37.737202,127.043257,False
4603,범골,의정부선,37.728755,127.04353,False
4602,회룡,의정부선,37.725006,127.047073,False
4601,발곡,의정부선,37.727048,127.052803,False
4517,전대.에버랜드,에버라인선,37.285342,127.219561,False
4515,둔전,에버라인선,37.267051,127.21364,False
4514,보평,에버라인선,37.258965,127.218457,False
4513,고진,에버라인선,37.24484,127.214251,False
4512,운동장.송담대,에버라인선,37.237845,127.209198,False
4511,김량장,에버라인선,37.237247,127.198781,False
4510,명지대,에버라인선,37.237964,127.190294,False
4509,시청.용인대,에버라인선,37.239151,127.178406,False
4508,삼가,에버라인선,37.242115,127.168075,False
4506,초당,에버라인선,37.260752,127.159443,False
4505,동백,에버라인선,37.269043,127.152716,False
4504,어정,에버라인선,37.274917,127.143714,False
4503,지석,에버라인선,37.269606,127.136515,False
4502,강남대,에버라인선,37.270161,127.126033,False
4501,기흥,에버라인선,37.275449,127.116665,False
4411,관악산(서울대),신림선,37.4691018,126.9450639,False
4410,서울대벤처타운,신림선,37.4720019,126.9339351,False
4409,서원,신림선,37.4782341,126.9330365,False
4408,신림,신림선,37.4849266,126.9296159,True
4407,당곡,신림선,37.4902998,126.9275133,False
4406,보라매병원,신림선,37.4929598,126.9234964,False
4405,보라매공원,신림선,37.4955691,126.9180827,False
4404,보라매,신림선,37.5002739,126.9204355,True
4403,서울지방병무청,신림선,37.5060464,126.9227083,False
4402,대방,신림선,37.5133059,126.9257265,False
4401,샛강,신림선,37.5170969,126.929399,False
4319,광교(경기대),신분당선(연장),37.30211,127.044483,False
4318,광교중앙(아주대),신분당선(연장),37.288617,127.051478,False
4317,상현,신분당선(연장),37.297664,127.069342,False
